Local time,Open,High,Low,Close,Volume
20.11.2020 00:00:00.000 GMT+0100,0.788888,0.72768,0.72658,0.72674,3507.01
20.11.2020 01:00:00.000 GMT+0100,2,0.72835,0.72675,0.72783,4699.8501
20.11.2020 02:00:00.000 GMT+0100,3,0.72877,0.72767,0.72875,4330.2598
20.11.2020 03:00:00.000 GMT+0100,4,0.72876,0.72773,0.72819,3256.76
20.11.2020 04:00:00.000 GMT+0100,5,0.72916,0.72816,0.72869,3649.8401
20.11.2020 05:00:00.000 GMT+0100,6,0.72948,0.72856,0.72937,2658.3701
20.11.2020 06:00:00.000 GMT+0100,7,0.72989,0.72900,0.72948,3381.8301
20.11.2020 07:00:00.000 GMT+0100,8,0.72990,0.72911,0.72970,3732.8999
20.11.2020 08:00:00.000 GMT+0100,9,0.73023,0.72809,0.72831,5785.73
20.11.2020 09:00:00.000 GMT+0100,11,0.72939,0.72812,0.72917,6146.1802
20.11.2020 10:00:00.000 GMT+0100,12,0.73003,0.72849,0.72860,6438.4702
20.11.2020 11:00:00.000 GMT+0100,13,0.72985,0.72851,0.72939,4807.1299
20.11.2020 12:00:00.000 GMT+0100,14,0.73137,0.72926,0.73107,5031.6401
20.11.2020 13:00:00.000 GMT+0100,15,0.73148,0.73072,0.73134,4448.4302
20.11.2020 14:00:00.000 GMT+0100,16,0.73136,0.73007,0.73069,5489.9902
20.11.2020 15:00:00.000 GMT+0100,17,0.73236,0.73071,0.73107,6857.1899
20.11.2020 16:00:00.000 GMT+0100,18,0.73189,0.73045,0.73109,6690.48
20.11.2020 17:00:00.000 GMT+0100,19,0.73160,0.73083,0.73136,3878.71
20.11.2020 18:00:00.000 GMT+0100,20,0.73160,0.73055,0.73092,2678.3999
20.11.2020 19:00:00.000 GMT+0100,0.73092,0.73116,0.73056,0.73086,1793.8
20.11.2020 20:00:00.000 GMT+0100,0.73087,0.73126,0.73077,0.73112,1873.98
20.11.2020 21:00:00.000 GMT+0100,0.73113,0.73114,0.73053,0.73098,2878.1201
20.11.2020 22:00:00.000 GMT+0100,0.73102,0.73102,0.72999,0.73004,1603.63
22.11.2020 23:00:00.000 GMT+0100,0.73006,0.73057,0.72985,0.73007,1193.61
23.11.2020 00:00:00.000 GMT+0100,0.73007,0.73146,0.73007,0.73125,3580.3101
23.11.2020 01:00:00.000 GMT+0100,0.73123,0.73217,0.73098,0.73199,2600.1001
23.11.2020 02:00:00.000 GMT+0100,0.73199,0.73275,0.73178,0.73226,3326.8701
23.11.2020 03:00:00.000 GMT+0100,0.73226,0.73236,0.73153,0.73177,2257.53
23.11.2020 04:00:00.000 GMT+0100,0.73178,0.73202,0.73153,0.73155,1791.42
23.11.2020 05:00:00.000 GMT+0100,0.73154,0.73159,0.73108,0.73123,1745.54
23.11.2020 06:00:00.000 GMT+0100,0.73121,0.73155,0.73109,0.73154,1516.6899
23.11.2020 07:00:00.000 GMT+0100,0.73154,0.73171,0.73062,0.73095,1960.71
23.11.2020 08:00:00.000 GMT+0100,0.73094,0.73183,0.73072,0.73156,3541.9399
23.11.2020 09:00:00.000 GMT+0100,0.73154,0.73307,0.73140,0.73277,5674.0298
23.11.2020 10:00:00.000 GMT+0100,0.73279,0.73371,0.73249,0.73298,4304.52
23.11.2020 11:00:00.000 GMT+0100,0.73297,0.73348,0.73277,0.73335,3003.5801
23.11.2020 12:00:00.000 GMT+0100,0.73334,0.73352,0.73244,0.73279,3563.48
23.11.2020 13:00:00.000 GMT+0100,0.73279,0.73342,0.73262,0.73285,2788.4199
23.11.2020 14:00:00.000 GMT+0100,0.73285,0.73313,0.73150,0.73224,4489.3398
23.11.2020 15:00:00.000 GMT+0100,0.73225,0.73253,0.73002,0.73030,7862.04
23.11.2020 16:00:00.000 GMT+0100,0.73028,0.73037,0.72721,0.72800,10453.0596
23.11.2020 17:00:00.000 GMT+0100,0.72797,0.72843,0.72649,0.72786,7359.1802
23.11.2020 18:00:00.000 GMT+0100,0.72785,0.72893,0.72735,0.72851,3466.3601
23.11.2020 19:00:00.000 GMT+0100,0.72852,0.72888,0.72804,0.72830,1698.28
23.11.2020 20:00:00.000 GMT+0100,0.72830,0.72907,0.72772,0.72898,2345.24
23.11.2020 21:00:00.000 GMT+0100,0.72897,0.72950,0.72832,0.72840,2582.1201
23.11.2020 22:00:00.000 GMT+0100,0.72841,0.72887,0.72829,0.72856,716.53
23.11.2020 23:00:00.000 GMT+0100,0.72856,0.72869,0.72827,0.72844,438.96
24.11.2020 00:00:00.000 GMT+0100,0.72847,0.73046,0.72844,0.72943,3112.26
24.11.2020 01:00:00.000 GMT+0100,0.72942,0.73032,0.72907,0.72971,2901.27
24.11.2020 02:00:00.000 GMT+0100,0.72974,0.73159,0.72974,0.73041,6848.8101
24.11.2020 03:00:00.000 GMT+0100,0.73042,0.73151,0.73018,0.73127,3618.02
24.11.2020 04:00:00.000 GMT+0100,0.73128,0.73201,0.73091,0.73154,3315.1201
24.11.2020 05:00:00.000 GMT+0100,0.73153,0.73170,0.73106,0.73160,2543.3799
24.11.2020 06:00:00.000 GMT+0100,0.73160,0.73212,0.73113,0.73183,3354.1299
24.11.2020 07:00:00.000 GMT+0100,0.73184,0.73250,0.73183,0.73194,2667.6101
24.11.2020 08:00:00.000 GMT+0100,0.73200,0.73283,0.73175,0.73193,3658.21
24.11.2020 09:00:00.000 GMT+0100,0.73193,0.73651,0.73193,0.73584,8446.5703
24.11.2020 10:00:00.000 GMT+0100,0.73584,0.73672,0.73552,0.73587,5289.1499
24.11.2020 11:00:00.000 GMT+0100,0.73587,0.73609,0.73438,0.73475,4287.02
24.11.2020 12:00:00.000 GMT+0100,0.73477,0.73538,0.73398,0.73406,3288.6499
24.11.2020 13:00:00.000 GMT+0100,0.73406,0.73517,0.73321,0.73385,4402.5601
24.11.2020 14:00:00.000 GMT+0100,0.73385,0.73407,0.73240,0.73264,3917.6699
