Local time,Open,High,Low,Close,Volume
19.02.2021 00:00:00.000 GMT+0100,0.69593,0.69626,0.69577,0.69600,1704.01
19.02.2021 01:00:00.000 GMT+0100,0.69600,0.69657,0.69595,0.69647,2511.99
19.02.2021 02:00:00.000 GMT+0100,0.69646,0.69653,0.69557,0.69624,4712.1499
19.02.2021 03:00:00.000 GMT+0100,0.69625,0.69637,0.69568,0.69615,3888.72
19.02.2021 04:00:00.000 GMT+0100,0.69616,0.69630,0.69584,0.69603,2602.8999
19.02.2021 05:00:00.000 GMT+0100,0.69603,0.69627,0.69587,0.69620,1953.45
19.02.2021 06:00:00.000 GMT+0100,0.69619,0.69756,0.69614,0.69745,2965.52
19.02.2021 07:00:00.000 GMT+0100,0.69744,0.69795,0.69734,0.69777,3602.3401
19.02.2021 08:00:00.000 GMT+0100,0.69779,0.69847,0.69752,0.69814,4262.4702
19.02.2021 09:00:00.000 GMT+0100,0.69815,0.69878,0.69788,0.69871,6748.0698
19.02.2021 10:00:00.000 GMT+0100,0.69871,0.70044,0.69821,0.69998,5303.6602
19.02.2021 11:00:00.000 GMT+0100,0.69997,0.70079,0.69947,0.70062,5572.5698
19.02.2021 12:00:00.000 GMT+0100,0.70061,0.70140,0.70030,0.70125,4563.0498
19.02.2021 13:00:00.000 GMT+0100,0.70124,0.70296,0.70124,0.70258,4522.9399
19.02.2021 14:00:00.000 GMT+0100,0.70259,0.70369,0.70200,0.70362,6528.7598
19.02.2021 15:00:00.000 GMT+0100,0.70359,0.70384,0.70281,0.70329,7307.1499
19.02.2021 16:00:00.000 GMT+0100,0.70328,0.70392,0.70309,0.70375,6549.75
19.02.2021 17:00:00.000 GMT+0100,0.70373,0.70461,0.70359,0.70434,4196.6099
19.02.2021 18:00:00.000 GMT+0100,0.70436,0.70556,0.70432,0.70547,4464.3799
19.02.2021 19:00:00.000 GMT+0100,0.70548,0.70555,0.70453,0.70525,3730.8799
19.02.2021 20:00:00.000 GMT+0100,0.70526,0.70540,0.70477,0.70525,2739.0601
19.02.2021 21:00:00.000 GMT+0100,0.70524,0.70552,0.70499,0.70537,2366.4199
19.02.2021 22:00:00.000 GMT+0100,0.70538,0.70573,0.70503,0.70503,1301.38
20.02.2021 05:00:00.000 GMT+0100,0.70503,0.70503,0.70503,0.70503,0
20.02.2021 06:00:00.000 GMT+0100,0.70503,0.70503,0.70503,0.70503,0
20.02.2021 07:00:00.000 GMT+0100,0.70503,0.70503,0.70503,0.70503,0
20.02.2021 08:00:00.000 GMT+0100,0.70503,0.70503,0.70503,0.70503,0
20.02.2021 09:00:00.000 GMT+0100,0.70503,0.70503,0.70503,0.70503,0
20.02.2021 10:00:00.000 GMT+0100,0.70503,0.70503,0.70503,0.70503,0
20.02.2021 11:00:00.000 GMT+0100,0.70503,0.70503,0.70503,0.70503,0
20.02.2021 12:00:00.000 GMT+0100,0.70503,0.70503,0.70503,0.70503,0
20.02.2021 13:00:00.000 GMT+0100,0.70503,0.70503,0.70503,0.70503,0
20.02.2021 14:00:00.000 GMT+0100,0.70503,0.70503,0.70503,0.70503,0
20.02.2021 15:00:00.000 GMT+0100,0.70503,0.70503,0.70503,0.70503,0
20.02.2021 16:00:00.000 GMT+0100,0.70503,0.70503,0.70503,0.70503,0
20.02.2021 17:00:00.000 GMT+0100,0.70503,0.70503,0.70503,0.70503,0
20.02.2021 18:00:00.000 GMT+0100,0.70503,0.70503,0.70503,0.70503,0
20.02.2021 19:00:00.000 GMT+0100,0.70503,0.70503,0.70503,0.70503,0
20.02.2021 20:00:00.000 GMT+0100,0.70503,0.70503,0.70503,0.70503,0
20.02.2021 21:00:00.000 GMT+0100,0.70503,0.70503,0.70503,0.70503,0
20.02.2021 22:00:00.000 GMT+0100,0.70503,0.70503,0.70503,0.70503,0
20.02.2021 23:00:00.000 GMT+0100,0.70503,0.70503,0.70503,0.70503,0
21.02.2021 00:00:00.000 GMT+0100,0.70503,0.70503,0.70503,0.70503,0
21.02.2021 01:00:00.000 GMT+0100,0.70503,0.70503,0.70503,0.70503,0
21.02.2021 02:00:00.000 GMT+0100,0.70503,0.70503,0.70503,0.70503,0
21.02.2021 03:00:00.000 GMT+0100,0.70503,0.70503,0.70503,0.70503,0
21.02.2021 04:00:00.000 GMT+0100,0.70503,0.70503,0.70503,0.70503,0
