Local time,Open,High,Low,Close,Volume
03.08.2021 01:00:00.000 GMT+0200,80.523,80.540,80.424,80.427,1935.59
03.08.2021 02:00:00.000 GMT+0200,80.427,80.552,80.415,80.541,4844.73
03.08.2021 03:00:00.000 GMT+0200,80.542,80.563,80.419,80.476,7109.2998
03.08.2021 04:00:00.000 GMT+0200,80.476,80.485,80.424,80.441,4749.8999
03.08.2021 05:00:00.000 GMT+0200,80.440,80.525,80.435,80.482,4267.6401
03.08.2021 06:00:00.000 GMT+0200,80.483,80.867,80.415,80.793,8994.5
03.08.2021 07:00:00.000 GMT+0200,80.792,80.914,80.718,80.727,6638.1299
03.08.2021 08:00:00.000 GMT+0200,80.727,80.774,80.659,80.667,6400.02
03.08.2021 09:00:00.000 GMT+0200,80.667,80.861,80.665,80.784,9946.5801
03.08.2021 10:00:00.000 GMT+0200,80.782,80.812,80.591,80.654,6368.2002
03.08.2021 11:00:00.000 GMT+0200,80.655,80.735,80.598,80.724,5214.2402
03.08.2021 12:00:00.000 GMT+0200,80.723,80.783,80.691,80.745,4676.5098
03.08.2021 13:00:00.000 GMT+0200,80.744,80.786,80.717,80.765,4418
03.08.2021 14:00:00.000 GMT+0200,80.765,80.765,80.477,80.537,9631.7197
03.08.2021 15:00:00.000 GMT+0200,80.537,80.541,80.154,80.178,14084.7803
03.08.2021 16:00:00.000 GMT+0200,80.175,80.432,80.158,80.349,12799.8496
03.08.2021 17:00:00.000 GMT+0200,80.350,80.585,80.341,80.565,7733.2598
03.08.2021 18:00:00.000 GMT+0200,80.565,80.654,80.552,80.615,4854.8599
03.08.2021 19:00:00.000 GMT+0200,80.616,80.653,80.604,80.642,2649
03.08.2021 20:00:00.000 GMT+0200,80.644,80.684,80.623,80.675,2420.1299
03.08.2021 21:00:00.000 GMT+0200,80.675,80.696,80.645,80.659,2564.3101
03.08.2021 22:00:00.000 GMT+0200,80.658,80.659,80.603,80.623,1879.21
03.08.2021 23:00:00.000 GMT+0200,80.613,80.640,80.560,80.621,1100.54
04.08.2021 00:00:00.000 GMT+0200,80.620,80.688,80.594,80.682,1772.3199
04.08.2021 01:00:00.000 GMT+0200,80.682,80.682,80.616,80.617,2082.3201
04.08.2021 02:00:00.000 GMT+0200,80.617,80.628,80.522,80.556,4258.9702
04.08.2021 03:00:00.000 GMT+0200,80.557,80.735,80.521,80.726,4572.73
04.08.2021 04:00:00.000 GMT+0200,80.724,80.780,80.681,80.747,5914.5801
04.08.2021 05:00:00.000 GMT+0200,80.747,80.804,80.725,80.742,3291.1499
