Local time,Open,High,Low,Close,Volume
06.07.2020 00:00:00.000 GMT+0200,1.06231,1.06263,1.06149,1.06199,1847.13
06.07.2020 01:00:00.000 GMT+0200,1.06199,1.06288,1.06196,1.06272,2453.6799
06.07.2020 02:00:00.000 GMT+0200,1.06271,1.06309,1.06156,1.06196,5486.1299
06.07.2020 03:00:00.000 GMT+0200,1.06196,1.06284,1.06185,1.06209,5693.46
06.07.2020 04:00:00.000 GMT+0200,1.0621,1.0625,1.06173,1.06216,3371.22
06.07.2020 05:00:00.000 GMT+0200,1.06219,1.06324,1.06201,1.06277,3407.6499
06.07.2020 06:00:00.000 GMT+0200,1.06273,1.06312,1.06265,1.06286,2753.5801
06.07.2020 07:00:00.000 GMT+0200,1.06286,1.06344,1.06264,1.06315,4074.5901
06.07.2020 08:00:00.000 GMT+0200,1.0631,1.06366,1.06282,1.06322,7228.5801
06.07.2020 09:00:00.000 GMT+0200,1.0632,1.06486,1.06283,1.0647,9768.8701
06.07.2020 10:00:00.000 GMT+0200,1.0647,1.06491,1.06375,1.06428,6872.25
06.07.2020 11:00:00.000 GMT+0200,1.06425,1.06538,1.06399,1.06513,6074.2402
06.07.2020 12:00:00.000 GMT+0200,1.06515,1.06524,1.06377,1.06422,6967.0298
06.07.2020 13:00:00.000 GMT+0200,1.06421,1.06576,1.06399,1.06558,7089.6201
06.07.2020 14:00:00.000 GMT+0200,1.06558,1.06563,1.06484,1.06529,5672.8599
06.07.2020 15:00:00.000 GMT+0200,1.06529,1.06586,1.06445,1.06546,8677.3398
06.07.2020 16:00:00.000 GMT+0200,1.06546,1.06618,1.06479,1.06608,10865.3799
06.07.2020 17:00:00.000 GMT+0200,1.06608,1.0662,1.06547,1.06566,6243.3799
06.07.2020 18:00:00.000 GMT+0200,1.06566,1.06572,1.06478,1.06481,4334.3398
06.07.2020 19:00:00.000 GMT+0200,1.0648,1.06501,1.0642,1.06427,3321.3101
06.07.2020 20:00:00.000 GMT+0200,1.06428,1.06439,1.06256,1.06273,3706.9299
06.07.2020 21:00:00.000 GMT+0200,1.06272,1.06334,1.06255,1.0631,3989.3401
06.07.2020 22:00:00.000 GMT+0200,1.0631,1.06384,1.0631,1.06377,1808.0699
06.07.2020 23:00:00.000 GMT+0200,1.06349,1.06501,1.0634,1.06446,416.37
07.07.2020 00:00:00.000 GMT+0200,1.06454,1.06477,1.06368,1.06404,1389.47
07.07.2020 01:00:00.000 GMT+0200,1.06404,1.06414,1.06341,1.06343,3031.8999
07.07.2020 02:00:00.000 GMT+0200,1.06346,1.06348,1.06206,1.06303,4991.0698
07.07.2020 03:00:00.000 GMT+0200,1.06303,1.06313,1.06226,1.06256,6964.5098
07.07.2020 04:00:00.000 GMT+0200,1.06256,1.06306,1.06193,1.06212,5950.6699
07.07.2020 05:00:00.000 GMT+0200,1.06214,1.06268,1.06202,1.06264,4042.53
07.07.2020 06:00:00.000 GMT+0200,1.06264,1.0633,1.06232,1.06295,3610.9399
07.07.2020 07:00:00.000 GMT+0200,1.06295,1.0634,1.06165,1.06203,5208.1802
07.07.2020 08:00:00.000 GMT+0200,1.06204,1.06293,1.0616,1.06197,6373.1699
07.07.2020 09:00:00.000 GMT+0200,1.06197,1.06263,1.06158,1.06231,9454.0303
07.07.2020 10:00:00.000 GMT+0200,1.06231,1.06241,1.06148,1.06185,8194.54
07.07.2020 11:00:00.000 GMT+0200,1.06185,1.06224,1.06137,1.06174,6806.7002
07.07.2020 12:00:00.000 GMT+0200,1.06173,1.06191,1.06073,1.06087,6989.6499
07.07.2020 13:00:00.000 GMT+0200,1.06088,1.06198,1.06066,1.06141,7083.21
07.07.2020 14:00:00.000 GMT+0200,1.06141,1.06165,1.06109,1.06131,5304.6299
07.07.2020 15:00:00.000 GMT+0200,1.0613,1.06145,1.06075,1.061,8996.8096
07.07.2020 16:00:00.000 GMT+0200,1.06101,1.06169,1.06069,1.06096,13267.25
07.07.2020 17:00:00.000 GMT+0200,1.06098,1.06169,1.06083,1.06161,8342.7197
07.07.2020 18:00:00.000 GMT+0200,1.06161,1.06206,1.06142,1.06169,6195.0098
07.07.2020 19:00:00.000 GMT+0200,1.06168,1.06206,1.06127,1.06194,4833.5601
07.07.2020 20:00:00.000 GMT+0200,1.06195,1.06229,1.06155,1.06226,4351.1499
07.07.2020 21:00:00.000 GMT+0200,1.06226,1.06267,1.06092,1.06107,6434.3101
07.07.2020 22:00:00.000 GMT+0200,1.06107,1.06151,1.06057,1.06098,1942.85
07.07.2020 23:00:00.000 GMT+0200,1.06073,1.06185,1.06063,1.06075,420.57
08.07.2020 00:00:00.000 GMT+0200,1.06075,1.06117,1.06065,1.0608,2245.3601
08.07.2020 01:00:00.000 GMT+0200,1.06078,1.06091,1.05979,1.05999,2856.8601
08.07.2020 02:00:00.000 GMT+0200,1.06004,1.06004,1.05886,1.0597,6002.3301
08.07.2020 03:00:00.000 GMT+0200,1.0597,1.06042,1.05969,1.0599,5316.8999
08.07.2020 04:00:00.000 GMT+0200,1.0599,1.06141,1.05975,1.06126,4479.3101
08.07.2020 05:00:00.000 GMT+0200,1.0613,1.06142,1.06072,1.06093,3009.8401
08.07.2020 06:00:00.000 GMT+0200,1.06094,1.06096,1.0603,1.06059,2458.54
08.07.2020 07:00:00.000 GMT+0200,1.0606,1.06066,1.05986,1.06044,3540.6299
08.07.2020 08:00:00.000 GMT+0200,1.06044,1.06113,1.05986,1.06019,6794.8301
08.07.2020 09:00:00.000 GMT+0200,1.06019,1.06115,1.05999,1.06111,9485.8701
08.07.2020 10:00:00.000 GMT+0200,1.06111,1.06117,1.06045,1.06102,8644.3301
08.07.2020 11:00:00.000 GMT+0200,1.06102,1.06131,1.06078,1.06124,7499.23
08.07.2020 12:00:00.000 GMT+0200,1.06124,1.06178,1.06086,1.06091,5794.0898
08.07.2020 13:00:00.000 GMT+0200,1.06091,1.06117,1.0603,1.06099,6757.52
08.07.2020 14:00:00.000 GMT+0200,1.061,1.06168,1.0607,1.0615,6261.8198
08.07.2020 15:00:00.000 GMT+0200,1.06154,1.06229,1.0612,1.06132,10537.9697
08.07.2020 16:00:00.000 GMT+0200,1.06133,1.06173,1.06073,1.06107,12068.3896
08.07.2020 17:00:00.000 GMT+0200,1.06106,1.06174,1.06066,1.0615,10211.3799
08.07.2020 18:00:00.000 GMT+0200,1.06149,1.06193,1.06115,1.06129,6520.5601
08.07.2020 19:00:00.000 GMT+0200,1.06126,1.06138,1.06082,1.0612,4657.1602
08.07.2020 20:00:00.000 GMT+0200,1.0612,1.06156,1.0608,1.06141,5754.8999
08.07.2020 21:00:00.000 GMT+0200,1.06142,1.06209,1.06118,1.06186,4954.5698
08.07.2020 22:00:00.000 GMT+0200,1.06185,1.06229,1.06138,1.06155,2965.0801
08.07.2020 23:00:00.000 GMT+0200,1.06147,1.06269,1.06136,1.06163,322.05
09.07.2020 00:00:00.000 GMT+0200,1.06158,1.06217,1.06155,1.06195,1777.9399
09.07.2020 01:00:00.000 GMT+0200,1.06196,1.06276,1.06195,1.06268,2561.4099
09.07.2020 02:00:00.000 GMT+0200,1.06265,1.0628,1.0621,1.0621,4659.8799
09.07.2020 03:00:00.000 GMT+0200,1.0621,1.06246,1.06151,1.06157,6234.0298
09.07.2020 04:00:00.000 GMT+0200,1.06157,1.06185,1.06093,1.06094,4634.9502
09.07.2020 05:00:00.000 GMT+0200,1.06093,1.06132,1.06082,1.0612,3632.1101
09.07.2020 06:00:00.000 GMT+0200,1.06116,1.06144,1.06085,1.06135,4352.5801
09.07.2020 07:00:00.000 GMT+0200,1.06135,1.0615,1.06094,1.0612,4933.6201
09.07.2020 08:00:00.000 GMT+0200,1.0612,1.06186,1.06093,1.06115,6952.1499
09.07.2020 09:00:00.000 GMT+0200,1.06115,1.06146,1.06051,1.06088,11668.5596
09.07.2020 10:00:00.000 GMT+0200,1.06088,1.06218,1.06071,1.06171,8869.7305
09.07.2020 11:00:00.000 GMT+0200,1.06173,1.06261,1.0615,1.06176,7375.5
09.07.2020 12:00:00.000 GMT+0200,1.06178,1.06182,1.06086,1.0611,5925.27
09.07.2020 13:00:00.000 GMT+0200,1.06109,1.06172,1.06068,1.06076,5927.21
09.07.2020 14:00:00.000 GMT+0200,1.06076,1.06089,1.06035,1.06045,5177.5698
09.07.2020 15:00:00.000 GMT+0200,1.06045,1.06072,1.05895,1.05903,9239.6299
09.07.2020 16:00:00.000 GMT+0200,1.05904,1.06065,1.05889,1.06064,20187.2207
09.07.2020 17:00:00.000 GMT+0200,1.06066,1.06101,1.05986,1.06002,15814.1396
09.07.2020 18:00:00.000 GMT+0200,1.06002,1.06041,1.05972,1.05992,7306.5801
09.07.2020 19:00:00.000 GMT+0200,1.05992,1.0602,1.05957,1.05967,5817.23
09.07.2020 20:00:00.000 GMT+0200,1.05965,1.06,1.0595,1.05966,4522.29
09.07.2020 21:00:00.000 GMT+0200,1.05969,1.06012,1.05924,1.0598,6640.3701
09.07.2020 22:00:00.000 GMT+0200,1.05983,1.06032,1.05954,1.0598,2214.05
09.07.2020 23:00:00.000 GMT+0200,1.05985,1.06022,1.05889,1.05948,417.08
10.07.2020 00:00:00.000 GMT+0200,1.05949,1.05977,1.05919,1.05938,1230.62
10.07.2020 01:00:00.000 GMT+0200,1.05938,1.05994,1.05911,1.05948,1491.76
10.07.2020 02:00:00.000 GMT+0200,1.05949,1.06,1.05897,1.05971,5345.6001
10.07.2020 03:00:00.000 GMT+0200,1.05973,1.06002,1.05848,1.0586,7037.8701
10.07.2020 04:00:00.000 GMT+0200,1.0586,1.05934,1.05843,1.05928,4684.5698
10.07.2020 05:00:00.000 GMT+0200,1.05929,1.0594,1.05874,1.05901,4052.5901
10.07.2020 06:00:00.000 GMT+0200,1.05902,1.05905,1.05812,1.05851,4423.4902
10.07.2020 07:00:00.000 GMT+0200,1.05851,1.05856,1.05725,1.05738,5173.8999
10.07.2020 08:00:00.000 GMT+0200,1.05737,1.05753,1.05686,1.05731,6623.6499
10.07.2020 09:00:00.000 GMT+0200,1.05728,1.05808,1.05712,1.05796,10311.46
10.07.2020 10:00:00.000 GMT+0200,1.05796,1.05873,1.05771,1.05834,7440.3301
10.07.2020 11:00:00.000 GMT+0200,1.05836,1.05853,1.05764,1.05828,8635.0303
10.07.2020 12:00:00.000 GMT+0200,1.05828,1.05885,1.05753,1.05768,6417.27
10.07.2020 13:00:00.000 GMT+0200,1.05766,1.05793,1.05732,1.05775,5262.8701
10.07.2020 14:00:00.000 GMT+0200,1.05775,1.05799,1.05733,1.0578,7563.1201
10.07.2020 15:00:00.000 GMT+0200,1.0578,1.05839,1.05712,1.05794,14715.9297
10.07.2020 16:00:00.000 GMT+0200,1.05795,1.05834,1.05723,1.05774,15073.5898
10.07.2020 17:00:00.000 GMT+0200,1.05774,1.05801,1.05684,1.05751,9451.71
10.07.2020 18:00:00.000 GMT+0200,1.05751,1.05769,1.05662,1.05699,6994.54
10.07.2020 19:00:00.000 GMT+0200,1.05698,1.05728,1.05681,1.05711,3874.8799
10.07.2020 20:00:00.000 GMT+0200,1.05711,1.05736,1.05672,1.05678,4378.8398
10.07.2020 21:00:00.000 GMT+0200,1.05678,1.05744,1.05657,1.05698,4750.1299
10.07.2020 22:00:00.000 GMT+0200,1.05699,1.05731,1.05654,1.05701,2347.6499
12.07.2020 23:00:00.000 GMT+0200,1.05649,1.05763,1.05649,1.05753,232.12
13.07.2020 00:00:00.000 GMT+0200,1.05746,1.05788,1.05723,1.05737,2883.1399
13.07.2020 01:00:00.000 GMT+0200,1.05739,1.05767,1.05718,1.05727,3955.4099
13.07.2020 02:00:00.000 GMT+0200,1.05727,1.05736,1.05681,1.05708,6197.4199
13.07.2020 03:00:00.000 GMT+0200,1.05707,1.05933,1.05705,1.05918,6795.1001
13.07.2020 04:00:00.000 GMT+0200,1.05921,1.06006,1.0591,1.05975,4625.3198
13.07.2020 05:00:00.000 GMT+0200,1.05975,1.06046,1.05964,1.06039,3745.77
13.07.2020 06:00:00.000 GMT+0200,1.06038,1.06074,1.06018,1.06045,2704.0801
13.07.2020 07:00:00.000 GMT+0200,1.06046,1.06146,1.06036,1.06103,4282.79
13.07.2020 08:00:00.000 GMT+0200,1.06102,1.06195,1.06082,1.06189,5897.2598
13.07.2020 09:00:00.000 GMT+0200,1.06191,1.06195,1.0611,1.0616,9770.46
13.07.2020 10:00:00.000 GMT+0200,1.06163,1.06219,1.06126,1.06152,7686.29
13.07.2020 11:00:00.000 GMT+0200,1.06153,1.06171,1.06066,1.06106,7592.6299
13.07.2020 12:00:00.000 GMT+0200,1.06106,1.06151,1.06065,1.06073,7271.3901
13.07.2020 13:00:00.000 GMT+0200,1.06074,1.06115,1.06013,1.06029,6237.2002
13.07.2020 14:00:00.000 GMT+0200,1.06029,1.06059,1.05956,1.05959,6382.1201
13.07.2020 15:00:00.000 GMT+0200,1.05958,1.06036,1.05939,1.05949,10894.9404
13.07.2020 16:00:00.000 GMT+0200,1.0595,1.06099,1.05941,1.0609,10082.3799
13.07.2020 17:00:00.000 GMT+0200,1.06091,1.06123,1.06026,1.06108,8348.5596
13.07.2020 18:00:00.000 GMT+0200,1.06106,1.06159,1.06093,1.06135,5115.7998
13.07.2020 19:00:00.000 GMT+0200,1.06138,1.06207,1.06131,1.06182,4530.4399
13.07.2020 20:00:00.000 GMT+0200,1.06182,1.06209,1.0614,1.06163,9363.3496
13.07.2020 21:00:00.000 GMT+0200,1.06159,1.06232,1.06088,1.06101,13918.6797
13.07.2020 22:00:00.000 GMT+0200,1.06103,1.06133,1.06089,1.061,3722.5901
13.07.2020 23:00:00.000 GMT+0200,1.061,1.06125,1.0605,1.06093,320.48
14.07.2020 00:00:00.000 GMT+0200,1.06101,1.06169,1.06085,1.06133,2246.3899
14.07.2020 01:00:00.000 GMT+0200,1.06131,1.06166,1.06111,1.06128,2894.54
14.07.2020 02:00:00.000 GMT+0200,1.06131,1.06217,1.06129,1.06207,5950.1299
14.07.2020 03:00:00.000 GMT+0200,1.06205,1.06269,1.06177,1.06259,6667.3198
14.07.2020 04:00:00.000 GMT+0200,1.0626,1.06276,1.06192,1.06237,6850.6602
14.07.2020 05:00:00.000 GMT+0200,1.06237,1.06244,1.06171,1.06191,4814.1001
14.07.2020 06:00:00.000 GMT+0200,1.06191,1.06249,1.06187,1.06249,4589.52
14.07.2020 07:00:00.000 GMT+0200,1.06251,1.06281,1.06229,1.06269,4664.4399
14.07.2020 08:00:00.000 GMT+0200,1.06264,1.06367,1.06264,1.06293,7706.9399
14.07.2020 09:00:00.000 GMT+0200,1.06295,1.06419,1.06278,1.0641,12238.4502
14.07.2020 10:00:00.000 GMT+0200,1.0641,1.06439,1.06355,1.06421,9543.8096
14.07.2020 11:00:00.000 GMT+0200,1.06419,1.06504,1.06385,1.06472,9686.4502
14.07.2020 12:00:00.000 GMT+0200,1.06468,1.06545,1.0645,1.06465,8195.6504
14.07.2020 13:00:00.000 GMT+0200,1.06465,1.06568,1.0644,1.06557,7663.3301
14.07.2020 14:00:00.000 GMT+0200,1.06561,1.06587,1.06482,1.06561,10020.04
14.07.2020 15:00:00.000 GMT+0200,1.06561,1.06726,1.06508,1.06629,28844.6504
14.07.2020 16:00:00.000 GMT+0200,1.06624,1.06644,1.06467,1.06569,26198.1895
14.07.2020 17:00:00.000 GMT+0200,1.06571,1.06772,1.06538,1.06704,20198.1602
14.07.2020 18:00:00.000 GMT+0200,1.06703,1.06786,1.06695,1.06707,9173.7695
14.07.2020 19:00:00.000 GMT+0200,1.06709,1.06802,1.06701,1.0672,6553.0898
14.07.2020 20:00:00.000 GMT+0200,1.06725,1.06794,1.06712,1.06754,8937.8301
14.07.2020 21:00:00.000 GMT+0200,1.06751,1.06829,1.06738,1.06806,8595.8301
14.07.2020 22:00:00.000 GMT+0200,1.06806,1.06858,1.06755,1.06776,3016.1499
14.07.2020 23:00:00.000 GMT+0200,1.06767,1.0681,1.0667,1.06737,510.6
15.07.2020 00:00:00.000 GMT+0200,1.06737,1.06862,1.0673,1.06785,3454.54
15.07.2020 01:00:00.000 GMT+0200,1.06786,1.06803,1.06724,1.06779,3614.1001
15.07.2020 02:00:00.000 GMT+0200,1.06777,1.06863,1.06755,1.06785,6801.9302
15.07.2020 03:00:00.000 GMT+0200,1.06786,1.06919,1.06746,1.06797,8676.2598
15.07.2020 04:00:00.000 GMT+0200,1.06794,1.06825,1.06748,1.06772,5217.2202
15.07.2020 05:00:00.000 GMT+0200,1.0677,1.06793,1.06731,1.0677,5099.27
15.07.2020 06:00:00.000 GMT+0200,1.0677,1.06805,1.0675,1.06789,3047.8999
