Local time,Open,High,Low,Close,Volume
17.12.2018 01:00:00.000 GMT+0100,1.13043,1.13577,1.13027,1.13493,213611.75
18.12.2018 01:00:00.000 GMT+0100,1.13495,1.14022,1.13366,1.13758,250202.4375
19.12.2018 01:00:00.000 GMT+0100,1.13756,1.14392,1.13643,1.13865,396079.875
20.12.2018 01:00:00.000 GMT+0100,1.13865,1.14859,1.13771,1.14565,521394.2813
21.12.2018 01:00:00.000 GMT+0100,1.14566,1.14739,1.13559,1.13684,457889.4375
23.12.2018 01:00:00.000 GMT+0100,1.13692,1.13738,1.13604,1.13723,9257.1201
24.12.2018 01:00:00.000 GMT+0100,1.13723,1.14384,1.13705,1.13995,364501.9063
25.12.2018 01:00:00.000 GMT+0100,1.13998,1.14198,1.13892,1.14131,19137.8809
26.12.2018 01:00:00.000 GMT+0100,1.14132,1.14163,1.13428,1.13601,261304.7188
27.12.2018 01:00:00.000 GMT+0100,1.13602,1.14540,1.13580,1.14304,556935.8125
28.12.2018 01:00:00.000 GMT+0100,1.14306,1.14727,1.14299,1.14414,444843.9375
30.12.2018 01:00:00.000 GMT+0100,1.14331,1.14406,1.14331,1.14389,9853.8096
31.12.2018 01:00:00.000 GMT+0100,1.14389,1.14674,1.14213,1.14627,306212.9688
01.01.2019 01:00:00.000 GMT+0100,1.14598,1.14676,1.14566,1.14612,11818.9004
02.01.2019 01:00:00.000 GMT+0100,1.14612,1.14967,1.13092,1.13121,455444.6563
03.01.2019 01:00:00.000 GMT+0100,1.13122,1.14110,1.13099,1.13899,494514.1875
04.01.2019 01:00:00.000 GMT+0100,1.13901,1.14189,1.13456,1.13943,403754.375
06.01.2019 01:00:00.000 GMT+0100,1.13955,1.14129,1.13954,1.14102,12460.9502
07.01.2019 01:00:00.000 GMT+0100,1.14102,1.14826,1.14046,1.14789,362818.625
08.01.2019 01:00:00.000 GMT+0100,1.14790,1.14844,1.14222,1.14572,373028.3125
09.01.2019 01:00:00.000 GMT+0100,1.14573,1.15578,1.14389,1.15541,464484.8438
10.01.2019 01:00:00.000 GMT+0100,1.15541,1.15697,1.14844,1.15081,501643.2188
